ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
model8177_218,2.925153762,1.753056376,3.736151859,,,,,,,,,,,,,0.034344314,0.002918949,1.858667288,,1.427667868,0.026349106,0.022221089,185.6852117
model8177_219,2.924283251,1.752327042,3.735962087,,,,,,,,,,,,,0.034157326,0.002954428,1.86447449,,1.419404677,0.026241973,0.022063781,185.0568694
model8177_220,2.923383998,1.751574212,3.735768814,,,,,,,,,,,,,0.036457216,0.002791466,1.87023654,,1.414034839,0.027753009,0.02380528,184.4310867
model8177_221,2.922518285,1.750850229,3.735584784,,,,,,,,,,,,,0.033789704,0.003022573,1.876011884,,1.421146981,0.02603021,0.021755647,183.8074724
model8177_223,2.920733398,1.749354806,3.735199039,,,,,,,,,,,,,0.035893541,0.002902701,1.429287193,,1.418525135,0.027433086,0.023328047,194.5028627
model8177_225,2.918904061,1.747820624,3.734805093,,,,,,,,,,,,,0.0355207,0.002973724,1.441594528,,1.413650561,0.027219668,0.023014188,193.221149
model8177_226,2.918031463,1.747088278,3.734615914,,,,,,,,,,,,,0.03533989,0.00300685,1.447759577,,1.415118061,0.02711524,0.022862912,192.5862944
model8177_227,2.917154265,1.746355325,3.734434057,,,,,,,,,,,,,0.035161125,0.003039342,1.453969837,,1.41510963,0.02701181,0.02271353,191.9526181
model8177_228,2.91622085,1.745571412,3.734231292,,,,,,,,,,,,,0.032544013,0.003235332,1.460212566,,1.415955662,0.025299818,0.020724367,191.3197961
model8177_229,2.915357711,1.744847109,3.734044954,,,,,,,,,,,,,0.034795707,0.003103549,1.466581288,,1.415438497,0.026798821,0.02240974,190.6883795
model8177_230,2.914426309,1.744065496,3.733845666,,,,,,,,,,,,,0.034615587,0.003134515,1.472851686,,1.415251101,0.026693353,0.022260479,190.0615808
model8177_231,2.91354206,1.743324746,3.733661364,,,,,,,,,,,,,0.036085803,0.002888944,1.47321244,,1.415783123,0.027559308,0.023473725,189.443015
model8177_232,2.912624011,1.742554225,3.733464442,,,,,,,,,,,,,0.035912923,0.002924518,1.480131175,,1.412542252,0.027462218,0.023326325,188.8245078
model8177_233,2.911741841,1.741814736,3.733277897,,,,,,,,,,,,,0.035745104,0.002958356,1.487080078,,1.409218004,0.027367479,0.023183732,188.2106976
model8177_234,2.910867222,1.741082405,3.733095446,,,,,,,,,,,,,0.035578977,0.002991292,1.494031297,,1.416686737,0.027273299,0.023042973,187.5986487
model8177_235,2.909942045,1.740306916,3.732902795,,,,,,,,,,,,,0.033997533,0.003175304,1.501044774,,1.41208784,0.026285165,0.021794607,186.9865088
model8177_236,2.909011597,1.739525092,3.732703321,,,,,,,,,,,,,0.03524381,0.003056318,1.508019471,,1.403410564,0.02708228,0.022759993,186.3805874
model8177_237,2.908145201,1.738797344,3.732519052,,,,,,,,,,,,,0.0350807,0.003086782,1.515040079,,1.414537812,0.026988485,0.022623117,185.7766822
model8177_238,2.907211424,1.738014618,3.732325055,,,,,,,,,,,,,0.03491421,0.003117565,1.522062709,,1.403141608,0.026892526,0.022483623,185.1735923
model8177_239,2.906323088,1.737269617,3.732140371,,,,,,,,,,,,,0.034757392,0.003146167,1.529068242,,1.400903821,0.026801864,0.022352512,184.5773624
model8177_240,2.905392052,1.736488852,3.731946772,,,,,,,,,,,,,0.034593767,0.003175161,1.536090795,,1.399934667,0.026706665,0.02221631,183.9823329
model8177_241,2.904502368,1.73574264,3.731762952,,,,,,,,,,,,,0.03443744,0.003202542,1.543097593,,1.400799497,0.026615487,0.022086408,183.3924191
model8177_243,2.902667038,1.734202725,3.731380943,,,,,,,,,,,,,0.034116679,0.003256483,1.55719454,,1.40605476,0.026426817,0.021821453,182.2161297
model8177_244,2.901770984,1.733451506,3.731198989,,,,,,,,,,,,,0.032527265,0.003400186,1.56433333,,1.403353241,0.025404544,0.020595955,181.6324536
model8177_245,2.900839274,1.732669657,3.731006237,,,,,,,,,,,,,0.033801822,0.003307729,1.571378783,,1.410055938,0.026240415,0.02156258,181.0522055
model8177_247,2.899055092,1.73117496,3.730643407,,,,,,,,,,,,,0.03205668,0.003462423,1.546936069,,1.40054478,0.025115798,0.020219193,180.6697384
model8177_248,2.898098264,1.730372615,3.73044716,,,,,,,,,,,,,0.032024246,0.003413773,1.548318324,,1.406242682,0.025058463,0.02023066,180.2072546
model8177_249,2.897197917,1.729617538,3.730263907,,,,,,,,,,,,,0.031877261,0.003433858,1.549718801,,1.39906611,0.024968732,0.020112523,179.7488261
model8177_250,2.896317983,1.728883229,3.730094218,,,,,,,,,,,,,0.031729862,0.003452981,1.551139727,,1.395836502,0.024878027,0.019994774,179.2913466
model8177_251,2.895360359,1.728077576,3.729892969,,,,,,,,,,,,,0.031579273,0.003472463,1.55251927,,1.395074853,0.02478532,0.019874516,178.8327108
model8177_252,2.89441933,1.727289171,3.729704908,,,,,,,,,,,,,0.03142969,0.003491508,1.553944134,,1.395364001,0.024693016,0.019755277,178.3814921
model8177_253,2.893514912,1.726531233,3.729524811,,,,,,,,,,,,,0.032569805,0.00342479,1.483918288,,1.391545735,0.025452022,0.020608638,179.347233
model8177_256,2.890717192,1.724187817,3.728967009,,,,,,,,,,,,,0.030849914,0.00355972,1.47204623,,1.393925542,0.024331286,0.019297081,178.3134259
model8177_257,2.889792086,1.723413629,3.72878467,,,,,,,,,,,,,0.031997562,0.003502285,1.468171906,,1.398044176,0.025102183,0.020149204,177.9741903
model8177_258,2.888873054,1.722644554,3.728605788,,,,,,,,,,,,,0.030568331,0.003589935,1.464292069,,1.390030337,0.024153542,0.019076607,177.6341351
model8177_259,2.88791583,1.72184361,3.728418196,,,,,,,,,,,,,0.03042466,0.003604788,1.460495033,,1.393574967,0.024062454,0.018964514,177.2935511
